Frequency (Hz), Magnitude (dB)
5964.843750, -33.112762
5976.562500, -33.191066
5988.281250, -33.353924
6000.000000, -33.604590
6011.718750, -33.948317
6023.437500, -34.392825
6035.156250, -34.949056
6046.875000, -35.632398
6058.593750, -36.464713
6070.312500, -37.477818
6082.031250, -38.719865
6093.750000, -40.268031
6105.468750, -42.256844
6117.187500, -44.952964
6128.906250, -49.014924
6140.625000, -57.100955
6152.343750, -62.348163
6164.062500, -50.706011
6175.781250, -45.951089
6187.500000, -42.953825
6199.218750, -40.793727
6210.937500, -39.133101
6222.656250, -37.810133
6234.375000, -36.734900
6246.093750, -35.852480
6257.812500, -35.127109
6269.531250, -34.534458
6281.250000, -34.057491
6292.968750, -33.684111
6304.687500, -33.405744
6316.406250, -33.216464
6328.125000, -33.112459
6339.843750, -33.091702
6351.562500, -33.153797
6363.281250, -33.299943
6375.000000, -33.533031
6386.718750, -33.857879
6398.437500, -34.281652
6410.156250, -34.814547
6421.875000, -35.470907
6433.593750, -36.271032
6445.312500, -37.244283
6457.031250, -38.434678
6468.750000, -39.911802
6480.468750, -41.794519
6492.187500, -44.311045
6503.906250, -47.993385
6515.625000, -54.689871
6527.343750, -70.019033
6539.062500, -52.143603
6550.781250, -46.740994
6562.500000, -43.492452
6574.218750, -41.197200
6585.937500, -39.451095
6597.656250, -38.068424
6609.375000, -36.948544
6621.093750, -36.031002
6632.812500, -35.276883
6644.531250, -34.659920
6656.250000, -34.161816
6667.968750, -33.769606
6679.687500, -33.474092
6691.406250, -33.268877
6703.125000, -33.149770
6714.843750, -33.114430
6726.562500, -33.162175
6738.281250, -33.293930
6750.000000, -33.512298
6761.718750, -33.821769
6773.437500, -34.229117
6785.156250, -34.744029
6796.875000, -35.380148
6808.593750, -36.156756
6820.312500, -37.101640
6832.031250, -38.256212
6843.750000, -39.685366
6855.468750, -41.498525
6867.187500, -43.901591
6878.906250, -47.357884
6890.625000, -53.349010
6902.343750, -104.292164
6914.062500, -53.299463
6925.781250, -47.332385
6937.500000, -43.883785
6949.218750, -41.484325
6960.937500, -39.673137
6972.656250, -38.245137
6984.375000, -37.091253
6996.093750, -36.146765
7007.812500, -35.370359
7019.531250, -34.734306
7031.250000, -34.219361
7042.968750, -33.811907
7054.687500, -33.502270
7066.406250, -33.283690
7078.125000, -33.151684
7089.843750, -33.103653
7101.562500, -33.138676
7113.281250, -33.257436
7125.000000, -33.462273
7136.718750, -33.757373
7148.437500, -34.149126
7160.156250, -34.646722
7171.875000, -35.263108
7183.593750, -36.016555
7195.312500, -36.933287
7207.031250, -38.052150
7218.750000, -39.433468
7230.468750, -41.177634
7242.187500, -43.469784
7253.906250, -46.712412
7265.625000, -52.098893
7277.343750, -69.740913
7289.062500, -54.726532
7300.781250, -48.004909
7312.500000, -44.315151
7324.218750, -41.795153
7335.937500, -39.910498
7347.656250, -38.432206
7359.375000, -37.241102
7371.093750, -36.267447
7382.812500, -35.467144
7394.531250, -34.810786
7406.250000, -34.278048
7417.968750, -33.854576
7429.687500, -33.530165
7441.406250, -33.297652
7453.125000, -33.152227
7464.843750, -33.091009
7476.562500, -33.112816
7488.281250, -33.218068
7500.000000, -33.408821
7511.718750, -33.688935
7523.437500, -34.064390
7535.156250, -34.543845
7546.875000, -35.139513
7558.593750, -35.868602
7570.312500, -36.755709
7582.031250, -37.837031
7593.750000, -39.168249
7605.468750, -40.840739
7617.187500, -43.019512
7628.906250, -46.050916
